protocol           , protocol_detected, master_proto, app_proto, category_name , category_id, flows , avg_detect_pkt_in_flow, var_detect_pkt_in_flow, avg_detecting_bytes, var_detecting_bytes, avg_packets_in_flow, var_packets_in_flow, avg_bytes_in_flow, var_bytes_in_flow        , avg_detecting_instructions, var_detecting_instructions, avg_detecting_cycles, var_detecting_cycles, avg_detecting_ipc, var_detecting_ipc, avg_detecting_llc_misses, var_detecting_llc_misses, avg_detecting_llc_refs, var_detecting_llc_refs, avg_detecting_llc_miss_ratio, var_detecting_llc_miss_ratio, avg_detecting_branch_misses, var_detecting_branch_misses, avg_detecting_branch_miss_per_kinst, var_detecting_branch_miss_per_kinst
LLMNR              ,                 1,            0,       154, Network       ,          14,    116,               1.000000,               0.000000,          109.775862,          767.208383,           22.094828,           24.637559,       2444.034483,             736958.464328,               18793.879310,            18116170.761296,         12214.568966,      42704104.124554,          1.538644,          1.058316,                22.379310,              3089.528537,             147.310345,           66709.834721,                     0.151919,                     0.013700,                   83.344828,                 2575.812128,                            4.434679,                            9.631531
SSDP               ,                 1,            0,        12, System        ,          18,    111,               1.000000,               0.000000,          214.963964,           38.737440,           54.369369,          171.854557,      11614.369369,            4561225.854557,               25169.837838,              133496.370100,         25384.837838,      24856199.325055,          0.991530,          0.078099,                36.288288,              2292.943917,             452.477477,          127446.231475,                     0.080199,                     0.000657,                  274.117117,                  406.625923,                           10.890699,                            0.438114
TLS.Cloudflare     ,                 1,           91,       220, Media         ,           1,    105,               4.000000,               0.000000,          447.028571,         2396.637279,           52.933333,         1111.795556,      29205.438095,          872991513.369977,              135688.142857,           168628061.627205,         42525.685714,      12091101.129796,          3.190734,          0.028933,                13.714286,                68.927891,              80.580952,            1775.291066,                     0.170193,                     0.042342,                   93.533333,                 1797.544127,                            0.689326,                            0.114556
QUIC.GoogleServices,                 1,          188,       239, Web           ,           5,    103,               1.000000,               0.000000,         1392.000000,            0.000000,           25.718447,          932.474126,      15874.883495,          834163396.724291,               16970.223301,               79496.367612,         12585.388350,      10527084.975398,          1.348407,          0.389978,                13.844660,               335.956452,             192.844660,           40610.189462,                     0.071792,                     0.021165,                   81.611650,                 1171.286078,                            4.809109,                            4.072619
HTTP.Microsoft365  ,                 1,            7,       219, Collaborative ,          15,     91,               4.000000,               0.000000,          560.736264,        49941.908465,           15.142857,           41.792779,       3154.285714,            2955392.599686,               60449.384615,           110643165.621302,         33605.648352,     191400406.821398,          1.798786,          0.514712,                39.307692,              3030.520710,             290.329670,          132638.199010,                     0.135390,                     0.033733,                  231.505495,                15798.184036,                            3.829741,                            1.627829
ICMP               ,                 1,            0,        81, Network       ,          14,     84,               1.000000,               0.000000,           94.000000,          735.714286,            7.988095,         1019.202239,        761.738095,            9561762.074263,                8002.404762,              306420.598073,          7793.678571,       5772808.337160,          1.026781,          0.262978,                14.952381,               199.164399,             112.869048,           33281.232851,                     0.132475,                     0.074019,                   73.154762,                  622.440334,                            9.141597,                            8.492815
TLS.Salesforce     ,                 1,           91,       266, Web           ,           5,     75,               4.000000,               0.000000,          485.653333,          536.199822,           26.546667,          567.501156,       7884.173333,          228048709.823289,              146247.746667,            10564946.429153,         50364.320000,      16966756.404267,          2.903797,          0.152813,                23.586667,               335.042489,             183.266667,           23828.542222,                     0.128701,                     0.030481,                  217.200000,                10027.280000,                            1.485151,                            0.485780
TLS.WindowsUpdate  ,                 1,           91,       147, SoftwareUpdate,          19,     67,               4.000000,               0.000000,          447.626866,           41.875696,           70.194030,         9404.275785,      89182.059701,        27093419078.085991,              155321.970149,            19130454.058811,         52940.865672,      24643877.340165,          2.933877,          0.214121,                27.179104,               506.893295,             205.164179,           74837.838717,                     0.132475,                     0.026564,                  213.537313,                 9787.741145,                            1.374804,                            0.427317
HTTP.WindowsUpdate ,                 1,            7,       147, SoftwareUpdate,          19,     66,               4.000000,               0.000000,          531.530303,         9475.733930,        78194.909091, 139767499576.628113,  105673939.984848, 246949121908885632.000000,               63046.712121,           181057988.235308,         33758.878788,     123770985.924702,          1.867559,          0.475910,                43.621212,              3966.023186,             516.045455,          577658.861570,                     0.084530,                     0.034703,                  209.969697,                10266.877870,                            3.330383,                            1.005786
TLS.Alibaba        ,                 1,           91,       274, Web           ,           5,     62,               4.000000,               0.000000,          497.693548,        13965.599636,           85.967742,        33175.773153,      68355.500000,        36903563074.637100,              137843.467742,             4957832.442509,         42177.580645,       5267273.469303,          3.268169,          0.080681,                19.096774,               219.990635,              76.403226,            2108.918054,                     0.249947,                     0.053098,                   77.032258,                 1294.482830,                            0.558839,                            0.069568
HTTP.AWS_Cloudfront,                 1,            7,       464, Cloud         ,          13,     59,               4.000000,               0.000000,          697.101695,       121821.006607,           48.593220,         5853.834530,      24903.983051,         6658443135.948865,               62001.762712,            47715590.045389,         29943.000000,     247231934.983051,          2.070660,          0.668746,                17.542373,               140.010916,             125.203390,            6093.246768,                     0.140111,                     0.036172,                  169.203390,                 6141.111175,                            2.729009,                            0.827201
TLS.VK             ,                 1,           91,        22, SocialNetwork ,           6,     57,               4.000000,               0.000000,          502.771930,        17047.755002,           90.771930,        18805.053247,      73487.596491,        23116252797.082794,              135462.982456,           100708162.894432,         42526.421053,      13525550.068329,          3.185384,          0.104380,                23.947368,               306.611265,              73.368421,            2159.285319,                     0.326399,                     0.040514,                   79.842105,                 1024.799631,                            0.589402,                            0.056733
TLS                ,                 1,            0,        91, AdultContent  ,          34,     54,               4.185185,               0.150892,          547.425926,        19900.725995,           49.148148,         1763.311385,      33499.296296,         2557093325.949245,              142837.500000,             4123245.398148,         44858.944444,       6157988.459877,          3.184148,          0.089052,                17.925926,               411.179698,              74.722222,            2496.348765,                     0.239901,                     0.023871,                   98.129630,                 1673.335048,                            0.687002,                            0.086069
HTTP.Yahoo         ,                 1,            7,        70, Web           ,           5,     48,               4.000000,               0.000000,          675.520833,        15908.541233,           18.604167,           63.655816,       3753.750000,           16653406.187500,               72786.604167,          1241101317.822482,         34597.562500,     339809167.912760,          2.103807,          0.201241,                20.520833,               220.916233,             142.937500,           17313.850260,                     0.143565,                     0.019450,                  250.354167,                55086.312066,                            3.439564,                            0.000000
TLS.IHeartRadio    ,                 1,           91,       325, Music         ,          25,     48,               4.000000,               0.000000,          419.875000,          197.026042,          137.270833,       107292.947483,     148679.187500,       189040097122.235687,               90929.229167,            50834434.176648,         31369.104167,      13676819.093316,          2.898687,          0.151178,                11.770833,                91.926649,              79.333333,           10318.597222,                     0.148372,                     0.040106,                   75.041667,                  952.623264,                            0.825276,                            0.088152
HTTP.SOAP          ,                 1,            7,       253, Collaborative ,          15,     46,               4.000000,               0.000000,          592.000000,            0.000000,           13.478261,            1.771267,       2888.304348,             160246.776938,               59912.282609,             1534755.985349,         28588.282609,      85666654.637524,          2.095694,          0.892362,                28.000000,              5794.956522,             204.804348,          123628.853025,                     0.136716,                     0.024561,                  147.869565,                12280.461248,                            2.468101,                            3.202448
TLS.Azure          ,                 1,           91,       276, Cloud         ,          13,     44,               4.000000,               0.000000,          480.613636,         5048.555269,          115.000000,        85297.090909,     109825.431818,       121909642498.654434,              143388.840909,            13944850.906509,         44762.886364,      11556507.600724,          3.203297,          0.141202,                19.136364,               206.208678,             133.613636,          108001.418905,                     0.143222,                     0.059556,                   89.909091,                 1603.128099,                            0.627030,                            0.079187
STUN               ,                 1,            0,        78, Network       ,          14,     42,               1.000000,               0.000000,           68.857143,            7.836735,           14.619048,         4332.426304,       1214.095238,           32113813.324263,                8027.023810,              268932.451814,          8175.214286,      19448273.739796,          0.981873,          0.588190,                45.238095,              7685.467120,              94.642857,           17874.324830,                     0.477987,                     0.014804,                   56.904762,                  706.514739,                            7.089148,                           10.909270
HTTP.Yahoo         ,                 1,            7,        70, Advertisement ,         101,     40,               4.000000,               0.000000,          843.750000,       163004.437500,           13.450000,           15.747500,       2356.325000,            2376972.869375,               80991.150000,           122627063.927501,         41201.975000,     100338540.974375,          1.965710,          0.307638,                25.675000,               168.869375,             254.700000,           52276.110000,                     0.100805,                     0.019667,                  330.925000,                15885.819375,                            4.085940,                            0.697033
TLS.Pinterest      ,                 1,           91,       183, SocialNetwork ,           6,     40,               4.000000,               0.000000,          461.725000,         2548.099375,           36.175000,          207.144375,      10185.100000,           59684322.890000,              137605.675000,             2486339.819378,         43126.750000,       3925521.587500,          3.190727,          0.060875,                17.725000,               111.499375,              71.550000,            2041.247500,                     0.247729,                     0.046025,                   92.225000,                  881.724375,                            0.670212,                            0.045367
